User label;Object type;Ost ;Nord ;Z;Object description;Hub height;NachtBetrieb;63;125;250;500;1000;2000;4000;8000;LatDW;deltaL;Rotor diameter;BladeWidthMax;BladeWidthat90%R
W1;New;488024;5886158;-0,3;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W2;New;488369;5885372;1,7;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W3;New;488771;5885328;-1;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W4;New;488465;5885842;-1,2;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W5;New;487400;5886156;0,8;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W6;New;489207;5886149;0;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
W7;New;488858;5885769;-0,6;SB-160-7000;123;;;;;;;;;;;;160;4;1,5
F1;Exist;486539;5886017;26,1;MB77;100;Standard;91,9;96,2;97,8;99,4;99,9;97,9;86,9;68,4;105,7;1,8;77;3,5;1
F1;Exist;486833;5885731;34,7;MB77;100;Standard;91,9;96,2;97,8;99,4;99,9;97,9;86,9;68,4;105,7;1,8;77;3,5;1
F1;Exist;486370;5885793;1;MB77;100;Standard;91,9;96,2;97,8;99,4;99,9;97,9;86,9;68,4;105,7;1,8;77;3,5;1
MHKW;Gewerbliche Vorbelastung;487736;5884915;3,2;MHKW;10;Standard;0,1;;;100,0;;;;;100,0;0,1;;;
Deponie;Gewerbliche Vorbelastung;486625;5885669;1;Deponie;5;Standard;0,1;;;90,0;;;;;90,0;0,1;;;
